id_municipio,ano,idhm,idhm_e,idhm_l,idhm_r
1718402,1991,0.355,0.135,0.64,0.52
1718451,1991,0.196,0.031,0.541,0.448
1718501,1991,0.148,0.019,0.498,0.34
1718550,1991,0.157,0.021,0.515,0.358
1718659,1991,0.247,0.077,0.512,0.384
1718709,1991,0.255,0.071,0.524,0.444
1718758,1991,0.284,0.085,0.583,0.464
1718808,1991,0.205,0.055,0.481,0.328
1718840,1991,0.294,0.095,0.606,0.441
1718865,1991,0.263,0.069,0.564,0.468
1718881,1991,0.248,0.077,0.524,0.377
1718899,1991,0.281,0.088,0.564,0.447
1718907,1991,0.285,0.081,0.604,0.471
1719004,1991,0.333,0.129,0.613,0.469
1720002,1991,0.224,0.069,0.517,0.316
1720101,1991,0.208,0.047,0.515,0.371
1720150,1991,0.294,0.137,0.512,0.362
1720200,1991,0.24,0.064,0.517,0.42
1720259,1991,0.222,0.035,0.632,0.496
1720309,1991,0.249,0.061,0.557,0.457
1720499,1991,0.327,0.119,0.604,0.487
1720655,1991,0.33,0.135,0.55,0.483
1720804,1991,0.302,0.134,0.512,0.4
1720853,1991,0.319,0.109,0.632,0.472
1720903,1991,0.316,0.123,0.559,0.461
1720937,1991,0.281,0.089,0.627,0.399
1720978,1991,0.296,0.07,0.658,0.563
1721000,1991,0.439,0.198,0.66,0.646
1721109,1991,0.349,0.143,0.553,0.536
1721208,1991,0.387,0.183,0.625,0.506
1721257,1991,0.238,0.055,0.571,0.429
1721307,1991,0.421,0.233,0.609,0.525
1722081,1991,0.346,0.153,0.562,0.483
1722107,1991,0.344,0.136,0.564,0.533
2100055,1991,0.344,0.132,0.545,0.565
2100105,1991,0.278,0.122,0.506,0.349
2100154,1991,0.21,0.045,0.533,0.388
2100204,1991,0.271,0.078,0.591,0.43
2100303,1991,0.257,0.078,0.549,0.397
2100402,1991,0.27,0.083,0.549,0.433
2100436,1991,0.209,0.055,0.466,0.356
2100477,1991,0.19,0.039,0.509,0.344
2100501,1991,0.308,0.108,0.574,0.473
2100550,1991,0.165,0.018,0.543,0.46
2100600,1991,0.284,0.105,0.521,0.418
2100709,1991,0.26,0.085,0.536,0.388
2100808,1991,0.292,0.115,0.552,0.393
2100832,1991,0.238,0.067,0.533,0.377
2100873,1991,0.184,0.032,0.494,0.394
2100907,1991,0.199,0.042,0.483,0.387
2100956,1991,0.21,0.048,0.488,0.394
2101004,1991,0.331,0.163,0.518,0.43
2101103,1991,0.31,0.14,0.509,0.417
2101202,1991,0.372,0.212,0.511,0.477
2101251,1991,0.341,0.181,0.552,0.398
2101301,1991,0.272,0.104,0.504,0.385
2101350,1991,0.216,0.06,0.504,0.334
2101400,1991,0.347,0.145,0.616,0.467
2101509,1991,0.31,0.121,0.61,0.403
2101608,1991,0.287,0.107,0.553,0.399
2101707,1991,0.251,0.083,0.531,0.358
2101731,1991,0.199,0.044,0.525,0.343
2101772,1991,0.175,0.03,0.478,0.373
2101806,1991,0.24,0.062,0.557,0.398
2101905,1991,0.299,0.154,0.504,0.346
2101939,1991,0.262,0.098,0.509,0.359
2101970,1991,0.256,0.068,0.565,0.435
2102002,1991,0.237,0.071,0.48,0.391
2102036,1991,0.198,0.033,0.559,0.421
2102077,1991,0.229,0.059,0.547,0.37
2102101,1991,0.305,0.126,0.552,0.406
2102150,1991,0.194,0.036,0.48,0.423
2102200,1991,0.24,0.065,0.525,0.407
2102309,1991,0.308,0.118,0.577,0.429
2102325,1991,0.237,0.053,0.566,0.442
2102358,1991,0.19,0.038,0.472,0.385
2102374,1991,0.256,0.093,0.509,0.353
2102408,1991,0.246,0.083,0.504,0.356
2102507,1991,0.257,0.093,0.501,0.365
2102556,1991,0.249,0.058,0.628,0.422
2102606,1991,0.275,0.105,0.534,0.372
2102705,1991,0.293,0.128,0.503,0.389
2102754,1991,0.274,0.102,0.505,0.399
2102804,1991,0.353,0.154,0.617,0.464
2102903,1991,0.282,0.11,0.487,0.42
2103000,1991,0.357,0.176,0.561,0.461
2103109,1991,0.342,0.184,0.504,0.43
2103125,1991,0.26,0.082,0.574,0.375
2103158,1991,0.16,0.024,0.465,0.369
2103174,1991,0.181,0.026,0.583,0.389
2103208,1991,0.328,0.144,0.552,0.444
2103257,1991,0.286,0.099,0.543,0.434
2103307,1991,0.301,0.124,0.505,0.434
2103406,1991,0.274,0.095,0.465,0.467
2103505,1991,0.324,0.151,0.465,0.483
2103554,1991,0.206,0.046,0.478,0.397
2103604,1991,0.287,0.114,0.516,0.403
2103703,1991,0.323,0.16,0.501,0.421
2103752,1991,0.235,0.063,0.493,0.417
2103802,1991,0.382,0.202,0.557,0.495
2103901,1991,0.286,0.121,0.528,0.368
2104008,1991,0.271,0.093,0.528,0.406
2104057,1991,0.333,0.118,0.636,0.493
2104073,1991,0.123,0.012,0.509,0.301
2104081,1991,0.155,0.021,0.553,0.323
2104099,1991,0.187,0.027,0.553,0.439
2104107,1991,0.3,0.129,0.557,0.376
2104206,1991,0.302,0.153,0.472,0.38
2104305,1991,0.299,0.104,0.559,0.46
2104404,1991,0.288,0.085,0.557,0.503
2104503,1991,0.321,0.139,0.533,0.447
2104552,1991,0.267,0.089,0.536,0.397
2104602,1991,0.241,0.08,0.509,0.344
2104628,1991,0.213,0.058,0.451,0.371
